station_id,bikes_out,bikes_in,station_name,lat,lng,bikes_chng,ride_date
5980.07,6.0,3.0,E 17 St & Broadway,40.73704984,-73.99009296,-3.0,2023-02-01 20:00:00
6266.06,11.0,8.0,9 Ave & W 22 St,40.745516062,-74.001939893,-3.0,2023-02-01 20:00:00
6224.03,3.0,7.0,W 22 St & 8 Ave,40.74475148,-73.99915362,4.0,2023-02-01 20:00:00
7646.04,3.0,2.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-1.0,2023-02-01 21:00:00
7631.23,2.0,7.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,5.0,2023-02-01 21:00:00
5905.12,4.0,1.0,Broadway & E 14 St,40.73454567,-73.99074142,-3.0,2023-02-01 21:00:00
6266.06,5.0,6.0,9 Ave & W 22 St,40.745516062,-74.001939893,1.0,2023-02-01 21:00:00
5905.14,10.0,4.0,University Pl & E 14 St,40.734814,-73.992085,-6.0,2023-02-01 21:00:00
5980.07,0.0,2.0,E 17 St & Broadway,40.73704984,-73.99009296,2.0,2023-02-01 21:00:00
6306.01,12.0,7.0,W 20 St & 10 Ave,40.745686,-74.005141,-5.0,2023-02-01 21:00:00
7617.07,0.0,2.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,2.0,2023-02-01 21:00:00
6224.03,8.0,8.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-01 21:00:00
7619.05,0.0,2.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,2.0,2023-02-01 21:00:00
6266.06,3.0,2.0,9 Ave & W 22 St,40.745516062,-74.001939893,-1.0,2023-02-01 22:00:00
5905.14,6.0,4.0,University Pl & E 14 St,40.734814,-73.992085,-2.0,2023-02-01 22:00:00
7619.05,0.0,1.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,1.0,2023-02-01 22:00:00
7617.07,2.0,1.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-1.0,2023-02-01 22:00:00
7631.23,3.0,5.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,2.0,2023-02-01 22:00:00
5905.12,5.0,2.0,Broadway & E 14 St,40.73454567,-73.99074142,-3.0,2023-02-01 22:00:00
7646.04,1.0,2.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,1.0,2023-02-01 22:00:00
6306.01,6.0,2.0,W 20 St & 10 Ave,40.745686,-74.005141,-4.0,2023-02-01 22:00:00
6224.03,4.0,4.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-01 22:00:00
5905.12,4.0,2.0,Broadway & E 14 St,40.73454567,-73.99074142,-2.0,2023-02-01 23:00:00
7646.04,2.0,1.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-1.0,2023-02-01 23:00:00
7619.05,1.0,3.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,2.0,2023-02-01 23:00:00
6306.01,1.0,1.0,W 20 St & 10 Ave,40.745686,-74.005141,0.0,2023-02-01 23:00:00
5905.14,2.0,2.0,University Pl & E 14 St,40.734814,-73.992085,0.0,2023-02-01 23:00:00
7631.23,2.0,4.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,2.0,2023-02-01 23:00:00
6224.03,2.0,3.0,W 22 St & 8 Ave,40.74475148,-73.99915362,1.0,2023-02-01 23:00:00
7646.04,2.0,3.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,1.0,2023-02-02 00:00:00
5905.14,4.0,0.0,University Pl & E 14 St,40.734814,-73.992085,-4.0,2023-02-02 00:00:00
7631.23,7.0,1.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-6.0,2023-02-02 00:00:00
6306.01,6.0,0.0,W 20 St & 10 Ave,40.745686,-74.005141,-6.0,2023-02-02 00:00:00
7617.07,1.0,1.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,0.0,2023-02-02 00:00:00
7619.05,0.0,2.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,2.0,2023-02-02 00:00:00
5905.12,0.0,1.0,Broadway & E 14 St,40.73454567,-73.99074142,1.0,2023-02-02 00:00:00
6224.03,1.0,4.0,W 22 St & 8 Ave,40.74475148,-73.99915362,3.0,2023-02-02 01:00:00
5905.14,4.0,3.0,University Pl & E 14 St,40.734814,-73.992085,-1.0,2023-02-02 01:00:00
6266.06,4.0,0.0,9 Ave & W 22 St,40.745516062,-74.001939893,-4.0,2023-02-02 01:00:00
5905.12,1.0,1.0,Broadway & E 14 St,40.73454567,-73.99074142,0.0,2023-02-02 01:00:00
7646.04,2.0,0.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-2.0,2023-02-02 01:00:00
7617.07,1.0,0.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-1.0,2023-02-02 02:00:00
5905.14,4.0,2.0,University Pl & E 14 St,40.734814,-73.992085,-2.0,2023-02-02 02:00:00
5905.12,1.0,2.0,Broadway & E 14 St,40.73454567,-73.99074142,1.0,2023-02-02 02:00:00
7646.04,1.0,0.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,-1.0,2023-02-02 02:00:00
6224.03,2.0,0.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-2.0,2023-02-02 04:00:00
7619.05,1.0,0.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-1.0,2023-02-02 04:00:00
7631.23,0.0,1.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,1.0,2023-02-02 04:00:00
6306.01,0.0,1.0,W 20 St & 10 Ave,40.745686,-74.005141,1.0,2023-02-02 04:00:00
5905.12,1.0,1.0,Broadway & E 14 St,40.73454567,-73.99074142,0.0,2023-02-02 04:00:00
6266.06,2.0,0.0,9 Ave & W 22 St,40.745516062,-74.001939893,-2.0,2023-02-02 05:00:00
6224.03,1.0,1.0,W 22 St & 8 Ave,40.74475148,-73.99915362,0.0,2023-02-02 05:00:00
7631.23,1.0,0.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-1.0,2023-02-02 05:00:00
7617.07,1.0,0.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-1.0,2023-02-02 05:00:00
5905.14,2.0,2.0,University Pl & E 14 St,40.734814,-73.992085,0.0,2023-02-02 05:00:00
5905.12,0.0,1.0,Broadway & E 14 St,40.73454567,-73.99074142,1.0,2023-02-02 05:00:00
6306.01,1.0,9.0,W 20 St & 10 Ave,40.745686,-74.005141,8.0,2023-02-02 05:00:00
7619.05,1.0,1.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,0.0,2023-02-02 05:00:00
6224.03,4.0,3.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-1.0,2023-02-02 06:00:00
5905.12,0.0,3.0,Broadway & E 14 St,40.73454567,-73.99074142,3.0,2023-02-02 06:00:00
6266.06,6.0,4.0,9 Ave & W 22 St,40.745516062,-74.001939893,-2.0,2023-02-02 06:00:00
6306.01,9.0,15.0,W 20 St & 10 Ave,40.745686,-74.005141,6.0,2023-02-02 06:00:00
7619.05,2.0,0.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-2.0,2023-02-02 06:00:00
5905.14,7.0,2.0,University Pl & E 14 St,40.734814,-73.992085,-5.0,2023-02-02 06:00:00
7631.23,4.0,1.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-3.0,2023-02-02 06:00:00
6224.03,14.0,9.0,W 22 St & 8 Ave,40.74475148,-73.99915362,-5.0,2023-02-02 07:00:00
5905.12,7.0,9.0,Broadway & E 14 St,40.73454567,-73.99074142,2.0,2023-02-02 07:00:00
6306.01,12.0,14.0,W 20 St & 10 Ave,40.745686,-74.005141,2.0,2023-02-02 07:00:00
7617.07,5.0,2.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-3.0,2023-02-02 07:00:00
7619.05,6.0,4.0,W 107 St & Columbus Ave,40.799773693,-73.962261319,-2.0,2023-02-02 07:00:00
7631.23,8.0,3.0,Frederick Douglass Blvd & W 112 St,40.801694,-73.957145,-5.0,2023-02-02 07:00:00
7646.04,1.0,2.0,W 110 St & Amsterdam Ave,40.802558184,-73.96272707,1.0,2023-02-02 07:00:00
5905.14,10.0,11.0,University Pl & E 14 St,40.734814,-73.992085,1.0,2023-02-02 07:00:00
6266.06,9.0,4.0,9 Ave & W 22 St,40.745516062,-74.001939893,-5.0,2023-02-02 07:00:00
5905.12,8.0,7.0,Broadway & E 14 St,40.73454567,-73.99074142,-1.0,2023-02-02 08:00:00
7617.07,5.0,4.0,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,-1.0,2023-02-02 08:00:00
